W0326 23:26:09.898000 746292 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] torch._dynamo hit config.recompile_limit (8)
W0326 23:26:09.898000 746292 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8]    function: 'adamw_step_fused' (/content/autoresearch_calm/train.py:489)
W0326 23:26:09.898000 746292 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8]    last reason: 1/7: tensor 'p' rank mismatch. expected 1, actual 2. Guard failed on a parameter, consider using torch._dynamo.config.force_parameter_static_shapes = False to allow dynamism on parameters.
W0326 23:26:09.898000 746292 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
W0326 23:26:09.898000 746292 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] To diagnose recompilation issues, see https://pytorch.org/docs/main/torch.compiler_troubleshooting.html
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  chunk_gate              : 524,800
  chunk_gate_hidden       : 754,400
  chunk_gate_resid        : 376,832
  chunk_resid             : 262,144
  chunk_pre_adapter       : 12,296
  chunk_pre_backbone      : 1,024
  chunk_post_backbone     : 1,024
  live_carry              : 512
  chunk_decode_offsets    : 1,024
  chunk_decode_hidden     : 123,120
  chunk_decode_proj       : 245,760
  chunk_pre_norm          : 1,024
  chunk_interface         : 262,656
  chunk_interface_scale   : 512
  token_shortcut_head     : 4,194,304
  shortcut_scale          : 2
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 57,093,610
Estimated FLOPs per token: 2.076211e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 900s
Gradient accumulation steps: 16

step 00000 (0.0%) | phase: prefix | loss: 9.010914 | gn: 8.10 | lrm: 1.00 | dt: 8156ms | tok/sec: 64,278 | mfu: 1.3% | epoch: 1 | remaining: 900s    
step 00001 (0.0%) | phase: prefix | loss: 8.996847 | gn: 1.26 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,960 | mfu: 33.4% | epoch: 1 | remaining: 900s    
step 00002 (0.0%) | phase: prefix | loss: 9.469389 | gn: 7.91 | lrm: 1.00 | dt: 312ms | tok/sec: 1,678,320 | mfu: 35.2% | epoch: 1 | remaining: 900s    
step 00003 (0.0%) | phase: prefix | loss: 8.879825 | gn: 1.47 | lrm: 1.00 | dt: 371ms | tok/sec: 1,413,779 | mfu: 29.7% | epoch: 1 | remaining: 900s    
step 00004 (0.0%) | phase: prefix | loss: 8.315646 | gn: 1.15 | lrm: 1.00 | dt: 398ms | tok/sec: 1,318,292 | mfu: 27.7% | epoch: 1 | remaining: 900s    
step 00005 (0.0%) | phase: prefix | loss: 7.887473 | gn: 1.23 | lrm: 1.00 | dt: 364ms | tok/sec: 1,439,402 | mfu: 30.2% | epoch: 1 | remaining: 900s    
step 00006 (0.0%) | phase: prefix | loss: 7.515898 | gn: 0.61 | lrm: 1.00 | dt: 366ms | tok/sec: 1,431,709 | mfu: 30.0% | epoch: 1 | remaining: 900s    
step 00007 (0.0%) | phase: prefix | loss: 7.185384 | gn: 0.57 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,263 | mfu: 33.3% | epoch: 1 | remaining: 900s    
step 00008 (0.0%) | phase: prefix | loss: 6.889617 | gn: 0.44 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,138 | mfu: 32.9% | epoch: 1 | remaining: 900s    
step 00009 (0.0%) | phase: prefix | loss: 6.622626 | gn: 0.33 | lrm: 1.00 | dt: 342ms | tok/sec: 1,531,104 | mfu: 32.1% | epoch: 1 | remaining: 900s    
step 00010 (0.0%) | phase: prefix | loss: 6.368153 | gn: 0.28 | lrm: 1.00 | dt: 354ms | tok/sec: 1,479,733 | mfu: 31.0% | epoch: 1 | remaining: 900s    
step 00011 (0.0%) | phase: prefix | loss: 6.141766 | gn: 0.26 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,869 | mfu: 32.9% | epoch: 1 | remaining: 900s    
step 00012 (0.0%) | phase: prefix | loss: 5.927362 | gn: 0.24 | lrm: 1.00 | dt: 346ms | tok/sec: 1,516,032 | mfu: 31.8% | epoch: 1 | remaining: 899s    
step 00013 (0.1%) | phase: prefix | loss: 5.727836 | gn: 0.25 | lrm: 1.00 | dt: 345ms | tok/sec: 1,519,770 | mfu: 31.9% | epoch: 1 | remaining: 899s    
step 00014 (0.1%) | phase: prefix | loss: 5.541763 | gn: 0.25 | lrm: 1.00 | dt: 358ms | tok/sec: 1,463,340 | mfu: 30.7% | epoch: 1 | remaining: 899s    
step 00015 (0.2%) | phase: prefix | loss: 5.358477 | gn: 0.32 | lrm: 1.00 | dt: 347ms | tok/sec: 1,510,860 | mfu: 31.7% | epoch: 1 | remaining: 898s    
step 00016 (0.2%) | phase: prefix | loss: 5.181852 | gn: 0.51 | lrm: 1.00 | dt: 344ms | tok/sec: 1,526,046 | mfu: 32.0% | epoch: 1 | remaining: 898s    
step 00017 (0.2%) | phase: prefix | loss: 5.008167 | gn: 0.46 | lrm: 1.00 | dt: 338ms | tok/sec: 1,552,345 | mfu: 32.6% | epoch: 1 | remaining: 898s    
step 00018 (0.3%) | phase: prefix | loss: 4.842233 | gn: 0.21 | lrm: 1.00 | dt: 337ms | tok/sec: 1,554,279 | mfu: 32.6% | epoch: 1 | remaining: 897s    
step 00019 (0.3%) | phase: prefix | loss: 4.682225 | gn: 0.31 | lrm: 1.00 | dt: 370ms | tok/sec: 1,418,219 | mfu: 29.8% | epoch: 1 | remaining: 897s    
step 00020 (0.3%) | phase: prefix | loss: 4.525012 | gn: 0.18 | lrm: 1.00 | dt: 349ms | tok/sec: 1,504,077 | mfu: 31.6% | epoch: 1 | remaining: 897s    
step 00021 (0.4%) | phase: prefix | loss: 4.374981 | gn: 0.17 | lrm: 1.00 | dt: 349ms | tok/sec: 1,502,690 | mfu: 31.5% | epoch: 1 | remaining: 896s    
step 00022 (0.4%) | phase: prefix | loss: 4.240305 | gn: 0.15 | lrm: 1.00 | dt: 359ms | tok/sec: 1,458,831 | mfu: 30.6% | epoch: 1 | remaining: 896s    
step 00023 (0.5%) | phase: prefix | loss: 4.113453 | gn: 0.17 | lrm: 1.00 | dt: 370ms | tok/sec: 1,416,555 | mfu: 29.7% | epoch: 1 | remaining: 895s    
step 00024 (0.5%) | phase: prefix | loss: 3.989831 | gn: 0.22 | lrm: 1.00 | dt: 364ms | tok/sec: 1,442,081 | mfu: 30.3% | epoch: 1 | remaining: 895s    
step 00025 (0.5%) | phase: prefix | loss: 3.872307 | gn: 0.26 | lrm: 1.00 | dt: 339ms | tok/sec: 1,545,500 | mfu: 32.4% | epoch: 1 | remaining: 895s    
step 00026 (0.6%) | phase: prefix | loss: 3.767311 | gn: 0.20 | lrm: 1.00 | dt: 309ms | tok/sec: 1,698,196 | mfu: 35.6% | epoch: 1 | remaining: 894s    
step 00027 (0.6%) | phase: prefix | loss: 3.661624 | gn: 0.24 | lrm: 1.00 | dt: 336ms | tok/sec: 1,558,949 | mfu: 32.7% | epoch: 1 | remaining: 894s    
step 00028 (0.7%) | phase: prefix | loss: 3.576254 | gn: 0.51 | lrm: 1.00 | dt: 314ms | tok/sec: 1,670,879 | mfu: 35.1% | epoch: 1 | remaining: 894s    
step 00029 (0.7%) | phase: prefix | loss: 3.499433 | gn: 0.68 | lrm: 1.00 | dt: 332ms | tok/sec: 1,577,577 | mfu: 33.1% | epoch: 1 | remaining: 893s    
step 00030 (0.7%) | phase: prefix | loss: 3.429013 | gn: 0.34 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,913 | mfu: 33.4% | epoch: 1 | remaining: 893s    
step 00031 (0.8%) | phase: prefix | loss: 3.364184 | gn: 0.41 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,336 | mfu: 34.2% | epoch: 1 | remaining: 893s    
step 00032 (0.8%) | phase: prefix | loss: 3.301317 | gn: 0.24 | lrm: 1.00 | dt: 321ms | tok/sec: 1,630,876 | mfu: 34.2% | epoch: 1 | remaining: 892s    
step 00033 (0.8%) | phase: prefix | loss: 3.245938 | gn: 0.21 | lrm: 1.00 | dt: 313ms | tok/sec: 1,673,240 | mfu: 35.1% | epoch: 1 | remaining: 892s    
step 00034 (0.9%) | phase: prefix | loss: 3.191683 | gn: 0.21 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,185 | mfu: 33.8% | epoch: 1 | remaining: 892s    
step 00035 (0.9%) | phase: prefix | loss: 3.146837 | gn: 0.13 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,872 | mfu: 33.1% | epoch: 1 | remaining: 892s    
step 00036 (0.9%) | phase: prefix | loss: 3.100298 | gn: 0.18 | lrm: 1.00 | dt: 375ms | tok/sec: 1,399,610 | mfu: 29.4% | epoch: 1 | remaining: 891s    
step 00037 (1.0%) | phase: prefix | loss: 3.058522 | gn: 0.21 | lrm: 1.00 | dt: 342ms | tok/sec: 1,534,472 | mfu: 32.2% | epoch: 1 | remaining: 891s    
step 00038 (1.0%) | phase: prefix | loss: 3.022622 | gn: 0.38 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,760 | mfu: 34.0% | epoch: 1 | remaining: 890s    
step 00039 (1.1%) | phase: prefix | loss: 2.992432 | gn: 0.49 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,249 | mfu: 34.3% | epoch: 1 | remaining: 890s    
step 00040 (1.1%) | phase: prefix | loss: 2.967364 | gn: 0.37 | lrm: 1.00 | dt: 311ms | tok/sec: 1,684,703 | mfu: 35.3% | epoch: 1 | remaining: 890s    
step 00041 (1.1%) | phase: prefix | loss: 2.940489 | gn: 0.29 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,171 | mfu: 34.5% | epoch: 1 | remaining: 890s    
step 00042 (1.2%) | phase: prefix | loss: 2.916102 | gn: 0.31 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,310 | mfu: 32.8% | epoch: 1 | remaining: 889s    
step 00043 (1.2%) | phase: prefix | loss: 2.889595 | gn: 0.28 | lrm: 1.00 | dt: 360ms | tok/sec: 1,455,563 | mfu: 30.5% | epoch: 1 | remaining: 889s    
step 00044 (1.2%) | phase: prefix | loss: 2.868142 | gn: 0.42 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,084 | mfu: 33.9% | epoch: 1 | remaining: 889s    
step 00045 (1.3%) | phase: prefix | loss: 2.854120 | gn: 0.58 | lrm: 1.00 | dt: 363ms | tok/sec: 1,445,131 | mfu: 30.3% | epoch: 1 | remaining: 888s    
step 00046 (1.3%) | phase: prefix | loss: 2.835927 | gn: 0.72 | lrm: 1.00 | dt: 316ms | tok/sec: 1,658,559 | mfu: 34.8% | epoch: 1 | remaining: 888s    
step 00047 (1.4%) | phase: prefix | loss: 2.817570 | gn: 0.56 | lrm: 1.00 | dt: 334ms | tok/sec: 1,569,417 | mfu: 32.9% | epoch: 1 | remaining: 887s    
step 00048 (1.4%) | phase: prefix | loss: 2.805344 | gn: 0.28 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,366 | mfu: 33.9% | epoch: 1 | remaining: 887s    
step 00049 (1.4%) | phase: prefix | loss: 2.783984 | gn: 0.31 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,755 | mfu: 33.7% | epoch: 1 | remaining: 887s    
step 00050 (1.5%) | phase: prefix | loss: 2.764534 | gn: 0.22 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,997 | mfu: 33.9% | epoch: 1 | remaining: 887s    
step 00051 (1.5%) | phase: prefix | loss: 2.749817 | gn: 0.18 | lrm: 1.00 | dt: 340ms | tok/sec: 1,541,980 | mfu: 32.4% | epoch: 1 | remaining: 886s    
step 00052 (1.5%) | phase: prefix | loss: 2.730261 | gn: 0.21 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,341 | mfu: 34.3% | epoch: 1 | remaining: 886s    
step 00053 (1.6%) | phase: prefix | loss: 2.716949 | gn: 0.23 | lrm: 1.00 | dt: 310ms | tok/sec: 1,690,900 | mfu: 35.5% | epoch: 1 | remaining: 886s    
step 00054 (1.6%) | phase: prefix | loss: 2.705722 | gn: 0.17 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,950 | mfu: 33.4% | epoch: 1 | remaining: 885s    
step 00055 (1.6%) | phase: prefix | loss: 2.688365 | gn: 0.16 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,812 | mfu: 32.9% | epoch: 1 | remaining: 885s    
step 00056 (1.7%) | phase: prefix | loss: 2.673679 | gn: 0.19 | lrm: 1.00 | dt: 356ms | tok/sec: 1,470,761 | mfu: 30.9% | epoch: 1 | remaining: 885s    
step 00057 (1.7%) | phase: prefix | loss: 2.663572 | gn: 0.19 | lrm: 1.00 | dt: 341ms | tok/sec: 1,537,076 | mfu: 32.3% | epoch: 1 | remaining: 884s    
step 00058 (1.8%) | phase: prefix | loss: 2.646461 | gn: 0.18 | lrm: 1.00 | dt: 352ms | tok/sec: 1,490,588 | mfu: 31.3% | epoch: 1 | remaining: 884s    
step 00059 (1.8%) | phase: prefix | loss: 2.634553 | gn: 0.36 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,763 | mfu: 33.5% | epoch: 1 | remaining: 884s    
step 00060 (1.8%) | phase: prefix | loss: 2.627982 | gn: 0.65 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,965 | mfu: 33.9% | epoch: 1 | remaining: 883s    
step 00061 (1.9%) | phase: prefix | loss: 2.622208 | gn: 0.68 | lrm: 1.00 | dt: 316ms | tok/sec: 1,660,624 | mfu: 34.8% | epoch: 1 | remaining: 883s    
step 00062 (1.9%) | phase: prefix | loss: 2.619665 | gn: 0.45 | lrm: 1.00 | dt: 316ms | tok/sec: 1,658,971 | mfu: 34.8% | epoch: 1 | remaining: 883s    
step 00063 (1.9%) | phase: prefix | loss: 2.609193 | gn: 0.27 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,969 | mfu: 34.3% | epoch: 1 | remaining: 882s    
step 00064 (2.0%) | phase: prefix | loss: 2.599372 | gn: 0.22 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,556 | mfu: 34.5% | epoch: 1 | remaining: 882s    
step 00065 (2.0%) | phase: prefix | loss: 2.583015 | gn: 0.21 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,866 | mfu: 33.8% | epoch: 1 | remaining: 882s    
step 00066 (2.0%) | phase: prefix | loss: 2.573829 | gn: 0.16 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,661 | mfu: 34.4% | epoch: 1 | remaining: 881s    
step 00067 (2.1%) | phase: prefix | loss: 2.561957 | gn: 0.13 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,367 | mfu: 33.5% | epoch: 1 | remaining: 881s    
step 00068 (2.1%) | phase: prefix | loss: 2.552461 | gn: 0.18 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,423 | mfu: 34.2% | epoch: 1 | remaining: 881s    
step 00069 (2.2%) | phase: prefix | loss: 2.546549 | gn: 0.20 | lrm: 1.00 | dt: 333ms | tok/sec: 1,576,480 | mfu: 33.1% | epoch: 1 | remaining: 880s    
step 00070 (2.2%) | phase: prefix | loss: 2.535070 | gn: 0.20 | lrm: 1.00 | dt: 334ms | tok/sec: 1,570,130 | mfu: 32.9% | epoch: 1 | remaining: 880s    
step 00071 (2.2%) | phase: prefix | loss: 2.525022 | gn: 0.22 | lrm: 1.00 | dt: 341ms | tok/sec: 1,535,816 | mfu: 32.2% | epoch: 1 | remaining: 880s    
step 00072 (2.3%) | phase: prefix | loss: 2.510687 | gn: 0.23 | lrm: 1.00 | dt: 341ms | tok/sec: 1,535,324 | mfu: 32.2% | epoch: 1 | remaining: 879s    
step 00073 (2.3%) | phase: prefix | loss: 2.496051 | gn: 0.24 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,869 | mfu: 33.8% | epoch: 1 | remaining: 879s    
step 00074 (2.3%) | phase: prefix | loss: 2.487099 | gn: 0.32 | lrm: 1.00 | dt: 313ms | tok/sec: 1,674,609 | mfu: 35.1% | epoch: 1 | remaining: 879s    
step 00075 (2.4%) | phase: prefix | loss: 2.484298 | gn: 0.47 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,043 | mfu: 32.8% | epoch: 1 | remaining: 878s    
step 00076 (2.4%) | phase: prefix | loss: 2.479293 | gn: 0.49 | lrm: 1.00 | dt: 346ms | tok/sec: 1,513,263 | mfu: 31.8% | epoch: 1 | remaining: 878s    
step 00077 (2.5%) | phase: prefix | loss: 2.474691 | gn: 0.41 | lrm: 1.00 | dt: 336ms | tok/sec: 1,558,304 | mfu: 32.7% | epoch: 1 | remaining: 878s    
step 00078 (2.5%) | phase: prefix | loss: 2.464239 | gn: 0.37 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,784 | mfu: 33.4% | epoch: 1 | remaining: 877s    
step 00079 (2.5%) | phase: prefix | loss: 2.453728 | gn: 0.35 | lrm: 1.00 | dt: 335ms | tok/sec: 1,563,062 | mfu: 32.8% | epoch: 1 | remaining: 877s    
