W0326 21:49:51.444000 109530 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] torch._dynamo hit config.recompile_limit (8)
W0326 21:49:51.444000 109530 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8]    function: 'adamw_step_fused' (/content/autoresearch_calm/train.py:489)
W0326 21:49:51.444000 109530 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8]    last reason: 1/7: tensor 'p' rank mismatch. expected 1, actual 2. Guard failed on a parameter, consider using torch._dynamo.config.force_parameter_static_shapes = False to allow dynamism on parameters.
W0326 21:49:51.444000 109530 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
W0326 21:49:51.444000 109530 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] To diagnose recompilation issues, see https://pytorch.org/docs/main/torch.compiler_troubleshooting.html
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  chunk_gate              : 524,800
  chunk_gate_hidden       : 754,400
  chunk_gate_resid        : 376,832
  chunk_resid             : 262,144
  chunk_pre_adapter       : 12,296
  chunk_pre_backbone      : 1,024
  chunk_post_backbone     : 1,024
  live_carry              : 512
  chunk_decode_offsets    : 1,024
  chunk_decode_hidden     : 123,120
  chunk_decode_proj       : 245,760
  chunk_pre_norm          : 1,024
  chunk_interface         : 262,656
  chunk_interface_scale   : 512
  token_shortcut_head     : 4,194,304
  shortcut_scale          : 2
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 57,093,610
Estimated FLOPs per token: 2.076211e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 16

step 00000 (0.0%) | phase: prefix | loss: 9.010914 | gn: 8.10 | lrm: 1.00 | dt: 8311ms | tok/sec: 63,082 | mfu: 1.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | phase: prefix | loss: 8.996847 | gn: 1.26 | lrm: 1.00 | dt: 338ms | tok/sec: 1,551,265 | mfu: 32.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | phase: prefix | loss: 9.469373 | gn: 7.91 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,453 | mfu: 33.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | phase: prefix | loss: 8.879851 | gn: 1.47 | lrm: 1.00 | dt: 366ms | tok/sec: 1,432,559 | mfu: 30.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | phase: prefix | loss: 8.315079 | gn: 1.15 | lrm: 1.00 | dt: 409ms | tok/sec: 1,280,661 | mfu: 26.9% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | phase: prefix | loss: 7.885744 | gn: 1.22 | lrm: 1.00 | dt: 367ms | tok/sec: 1,426,700 | mfu: 29.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | phase: prefix | loss: 7.512623 | gn: 0.61 | lrm: 1.00 | dt: 390ms | tok/sec: 1,345,036 | mfu: 28.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | phase: prefix | loss: 7.180104 | gn: 0.56 | lrm: 1.00 | dt: 350ms | tok/sec: 1,499,349 | mfu: 31.5% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | phase: prefix | loss: 6.884011 | gn: 0.43 | lrm: 1.00 | dt: 372ms | tok/sec: 1,409,119 | mfu: 29.6% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | phase: prefix | loss: 6.615786 | gn: 0.33 | lrm: 1.00 | dt: 359ms | tok/sec: 1,462,013 | mfu: 30.7% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | phase: prefix | loss: 6.359305 | gn: 0.27 | lrm: 1.00 | dt: 368ms | tok/sec: 1,426,243 | mfu: 29.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | phase: prefix | loss: 6.132703 | gn: 0.26 | lrm: 1.00 | dt: 344ms | tok/sec: 1,524,903 | mfu: 32.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | phase: prefix | loss: 5.917636 | gn: 0.24 | lrm: 1.00 | dt: 353ms | tok/sec: 1,486,598 | mfu: 31.2% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | phase: prefix | loss: 5.716923 | gn: 0.24 | lrm: 1.00 | dt: 364ms | tok/sec: 1,439,391 | mfu: 30.2% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | phase: prefix | loss: 5.530272 | gn: 0.25 | lrm: 1.00 | dt: 374ms | tok/sec: 1,403,670 | mfu: 29.5% | epoch: 1 | remaining: 299s    
step 00015 (0.5%) | phase: prefix | loss: 5.347490 | gn: 0.34 | lrm: 1.00 | dt: 358ms | tok/sec: 1,463,353 | mfu: 30.7% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | phase: prefix | loss: 5.173048 | gn: 0.56 | lrm: 1.00 | dt: 352ms | tok/sec: 1,490,545 | mfu: 31.3% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | phase: prefix | loss: 4.999579 | gn: 0.46 | lrm: 1.00 | dt: 356ms | tok/sec: 1,473,682 | mfu: 30.9% | epoch: 1 | remaining: 297s    
step 00018 (0.8%) | phase: prefix | loss: 4.834655 | gn: 0.23 | lrm: 1.00 | dt: 338ms | tok/sec: 1,550,690 | mfu: 32.5% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | phase: prefix | loss: 4.675180 | gn: 0.29 | lrm: 1.00 | dt: 363ms | tok/sec: 1,444,457 | mfu: 30.3% | epoch: 1 | remaining: 297s    
step 00020 (1.1%) | phase: prefix | loss: 4.518478 | gn: 0.18 | lrm: 1.00 | dt: 346ms | tok/sec: 1,514,183 | mfu: 31.8% | epoch: 1 | remaining: 296s    
step 00021 (1.2%) | phase: prefix | loss: 4.369508 | gn: 0.18 | lrm: 1.00 | dt: 339ms | tok/sec: 1,546,657 | mfu: 32.5% | epoch: 1 | remaining: 296s    
step 00022 (1.3%) | phase: prefix | loss: 4.235565 | gn: 0.14 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,873 | mfu: 33.1% | epoch: 1 | remaining: 296s    
step 00023 (1.4%) | phase: prefix | loss: 4.108828 | gn: 0.13 | lrm: 1.00 | dt: 344ms | tok/sec: 1,524,226 | mfu: 32.0% | epoch: 1 | remaining: 295s    
step 00024 (1.5%) | phase: prefix | loss: 3.983140 | gn: 0.11 | lrm: 1.00 | dt: 353ms | tok/sec: 1,485,086 | mfu: 31.2% | epoch: 1 | remaining: 295s    
step 00025 (1.6%) | phase: prefix | loss: 3.864291 | gn: 0.16 | lrm: 1.00 | dt: 327ms | tok/sec: 1,604,359 | mfu: 33.7% | epoch: 1 | remaining: 295s    
step 00026 (1.7%) | phase: prefix | loss: 3.761540 | gn: 0.27 | lrm: 1.00 | dt: 312ms | tok/sec: 1,678,092 | mfu: 35.2% | epoch: 1 | remaining: 294s    
step 00027 (1.9%) | phase: prefix | loss: 3.659318 | gn: 0.41 | lrm: 1.00 | dt: 343ms | tok/sec: 1,530,103 | mfu: 32.1% | epoch: 1 | remaining: 294s    
step 00028 (2.0%) | phase: prefix | loss: 3.573858 | gn: 0.39 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,234 | mfu: 34.3% | epoch: 1 | remaining: 294s    
step 00029 (2.1%) | phase: prefix | loss: 3.492497 | gn: 0.39 | lrm: 1.00 | dt: 345ms | tok/sec: 1,518,254 | mfu: 31.9% | epoch: 1 | remaining: 293s    
step 00030 (2.2%) | phase: prefix | loss: 3.425738 | gn: 0.72 | lrm: 1.00 | dt: 349ms | tok/sec: 1,504,035 | mfu: 31.6% | epoch: 1 | remaining: 293s    
step 00031 (2.3%) | phase: prefix | loss: 3.362913 | gn: 0.57 | lrm: 1.00 | dt: 344ms | tok/sec: 1,526,085 | mfu: 32.0% | epoch: 1 | remaining: 293s    
step 00032 (2.4%) | phase: prefix | loss: 3.299052 | gn: 0.20 | lrm: 1.00 | dt: 333ms | tok/sec: 1,574,446 | mfu: 33.0% | epoch: 1 | remaining: 292s    
step 00033 (2.5%) | phase: prefix | loss: 3.245623 | gn: 0.41 | lrm: 1.00 | dt: 333ms | tok/sec: 1,573,625 | mfu: 33.0% | epoch: 1 | remaining: 292s    
step 00034 (2.6%) | phase: prefix | loss: 3.191919 | gn: 0.17 | lrm: 1.00 | dt: 367ms | tok/sec: 1,429,860 | mfu: 30.0% | epoch: 1 | remaining: 292s    
step 00035 (2.8%) | phase: prefix | loss: 3.147560 | gn: 0.25 | lrm: 1.00 | dt: 344ms | tok/sec: 1,525,381 | mfu: 32.0% | epoch: 1 | remaining: 291s    
step 00036 (2.9%) | phase: prefix | loss: 3.100543 | gn: 0.13 | lrm: 1.00 | dt: 372ms | tok/sec: 1,409,000 | mfu: 29.6% | epoch: 1 | remaining: 291s    
step 00037 (3.0%) | phase: prefix | loss: 3.057977 | gn: 0.18 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,616 | mfu: 32.8% | epoch: 1 | remaining: 291s    
step 00038 (3.1%) | phase: prefix | loss: 3.020682 | gn: 0.23 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,030 | mfu: 33.7% | epoch: 1 | remaining: 290s    
step 00039 (3.2%) | phase: prefix | loss: 2.988479 | gn: 0.35 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,471 | mfu: 33.7% | epoch: 1 | remaining: 290s    
step 00040 (3.3%) | phase: prefix | loss: 2.966393 | gn: 0.67 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,270 | mfu: 33.9% | epoch: 1 | remaining: 290s    
step 00041 (3.4%) | phase: prefix | loss: 2.944247 | gn: 0.66 | lrm: 1.00 | dt: 345ms | tok/sec: 1,518,441 | mfu: 31.9% | epoch: 1 | remaining: 289s    
step 00042 (3.6%) | phase: prefix | loss: 2.921405 | gn: 0.36 | lrm: 1.00 | dt: 344ms | tok/sec: 1,523,689 | mfu: 32.0% | epoch: 1 | remaining: 289s    
step 00043 (3.7%) | phase: prefix | loss: 2.896224 | gn: 0.37 | lrm: 1.00 | dt: 376ms | tok/sec: 1,394,927 | mfu: 29.3% | epoch: 1 | remaining: 289s    
step 00044 (3.8%) | phase: prefix | loss: 2.872443 | gn: 0.18 | lrm: 1.00 | dt: 355ms | tok/sec: 1,478,299 | mfu: 31.0% | epoch: 1 | remaining: 288s    
step 00045 (3.9%) | phase: prefix | loss: 2.855625 | gn: 0.24 | lrm: 1.00 | dt: 391ms | tok/sec: 1,341,725 | mfu: 28.2% | epoch: 1 | remaining: 288s    
step 00046 (4.0%) | phase: prefix | loss: 2.831918 | gn: 0.17 | lrm: 1.00 | dt: 340ms | tok/sec: 1,543,919 | mfu: 32.4% | epoch: 1 | remaining: 288s    
step 00047 (4.2%) | phase: prefix | loss: 2.809481 | gn: 0.18 | lrm: 1.00 | dt: 364ms | tok/sec: 1,441,818 | mfu: 30.3% | epoch: 1 | remaining: 287s    
step 00048 (4.3%) | phase: prefix | loss: 2.796422 | gn: 0.26 | lrm: 1.00 | dt: 363ms | tok/sec: 1,445,667 | mfu: 30.3% | epoch: 1 | remaining: 287s    
step 00049 (4.4%) | phase: prefix | loss: 2.776936 | gn: 0.35 | lrm: 1.00 | dt: 357ms | tok/sec: 1,468,599 | mfu: 30.8% | epoch: 1 | remaining: 286s    
step 00050 (4.5%) | phase: prefix | loss: 2.758459 | gn: 0.36 | lrm: 1.00 | dt: 343ms | tok/sec: 1,528,772 | mfu: 32.1% | epoch: 1 | remaining: 286s    
step 00051 (4.6%) | phase: prefix | loss: 2.744909 | gn: 0.31 | lrm: 1.00 | dt: 356ms | tok/sec: 1,473,986 | mfu: 30.9% | epoch: 1 | remaining: 286s    
step 00052 (4.7%) | phase: prefix | loss: 2.726639 | gn: 0.23 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,780 | mfu: 34.0% | epoch: 1 | remaining: 285s    
step 00053 (4.9%) | phase: prefix | loss: 2.713427 | gn: 0.21 | lrm: 1.00 | dt: 327ms | tok/sec: 1,605,580 | mfu: 33.7% | epoch: 1 | remaining: 285s    
step 00054 (5.0%) | phase: prefix | loss: 2.704360 | gn: 0.38 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,030 | mfu: 33.7% | epoch: 1 | remaining: 285s    
step 00055 (5.1%) | phase: prefix | loss: 2.689286 | gn: 0.42 | lrm: 1.00 | dt: 334ms | tok/sec: 1,571,987 | mfu: 33.0% | epoch: 1 | remaining: 284s    
step 00056 (5.2%) | phase: prefix | loss: 2.675910 | gn: 0.43 | lrm: 1.00 | dt: 342ms | tok/sec: 1,530,863 | mfu: 32.1% | epoch: 1 | remaining: 284s    
step 00057 (5.3%) | phase: prefix | loss: 2.668443 | gn: 0.50 | lrm: 1.00 | dt: 333ms | tok/sec: 1,572,777 | mfu: 33.0% | epoch: 1 | remaining: 284s    
step 00058 (5.4%) | phase: prefix | loss: 2.654000 | gn: 0.54 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,375 | mfu: 34.0% | epoch: 1 | remaining: 283s    
step 00059 (5.5%) | phase: prefix | loss: 2.645367 | gn: 0.55 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,664 | mfu: 33.4% | epoch: 1 | remaining: 283s    
step 00060 (5.6%) | phase: prefix | loss: 2.636986 | gn: 0.39 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,282 | mfu: 34.1% | epoch: 1 | remaining: 283s    
step 00061 (5.7%) | phase: prefix | loss: 2.625932 | gn: 0.21 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,670 | mfu: 34.0% | epoch: 1 | remaining: 282s    
step 00062 (5.8%) | phase: prefix | loss: 2.620172 | gn: 0.25 | lrm: 1.00 | dt: 336ms | tok/sec: 1,561,924 | mfu: 32.8% | epoch: 1 | remaining: 282s    
step 00063 (6.0%) | phase: prefix | loss: 2.608420 | gn: 0.24 | lrm: 1.00 | dt: 328ms | tok/sec: 1,597,549 | mfu: 33.5% | epoch: 1 | remaining: 282s    
step 00064 (6.1%) | phase: prefix | loss: 2.597377 | gn: 0.21 | lrm: 1.00 | dt: 334ms | tok/sec: 1,571,403 | mfu: 33.0% | epoch: 1 | remaining: 281s    
step 00065 (6.2%) | phase: prefix | loss: 2.581758 | gn: 0.33 | lrm: 1.00 | dt: 344ms | tok/sec: 1,522,839 | mfu: 32.0% | epoch: 1 | remaining: 281s    
step 00066 (6.3%) | phase: prefix | loss: 2.574145 | gn: 0.39 | lrm: 1.00 | dt: 349ms | tok/sec: 1,503,895 | mfu: 31.6% | epoch: 1 | remaining: 281s    
step 00067 (6.4%) | phase: prefix | loss: 2.564844 | gn: 0.32 | lrm: 1.00 | dt: 344ms | tok/sec: 1,525,819 | mfu: 32.0% | epoch: 1 | remaining: 280s    
step 00068 (6.5%) | phase: prefix | loss: 2.556119 | gn: 0.19 | lrm: 1.00 | dt: 343ms | tok/sec: 1,527,774 | mfu: 32.1% | epoch: 1 | remaining: 280s    
step 00069 (6.6%) | phase: prefix | loss: 2.549503 | gn: 0.17 | lrm: 1.00 | dt: 331ms | tok/sec: 1,582,489 | mfu: 33.2% | epoch: 1 | remaining: 280s    
step 00070 (6.7%) | phase: prefix | loss: 2.537192 | gn: 0.18 | lrm: 1.00 | dt: 334ms | tok/sec: 1,568,511 | mfu: 32.9% | epoch: 1 | remaining: 279s    
step 00071 (6.9%) | phase: prefix | loss: 2.526981 | gn: 0.20 | lrm: 1.00 | dt: 340ms | tok/sec: 1,540,956 | mfu: 32.3% | epoch: 1 | remaining: 279s    
step 00072 (7.0%) | phase: prefix | loss: 2.513604 | gn: 0.21 | lrm: 1.00 | dt: 345ms | tok/sec: 1,519,761 | mfu: 31.9% | epoch: 1 | remaining: 279s    
step 00073 (7.1%) | phase: prefix | loss: 2.499548 | gn: 0.20 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,142 | mfu: 33.8% | epoch: 1 | remaining: 278s    
step 00074 (7.2%) | phase: prefix | loss: 2.490348 | gn: 0.22 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,784 | mfu: 33.3% | epoch: 1 | remaining: 278s    
step 00075 (7.3%) | phase: prefix | loss: 2.484744 | gn: 0.22 | lrm: 1.00 | dt: 351ms | tok/sec: 1,495,549 | mfu: 31.4% | epoch: 1 | remaining: 278s    
step 00076 (7.4%) | phase: prefix | loss: 2.475574 | gn: 0.21 | lrm: 1.00 | dt: 369ms | tok/sec: 1,420,823 | mfu: 29.8% | epoch: 1 | remaining: 277s    
step 00077 (7.5%) | phase: prefix | loss: 2.466535 | gn: 0.20 | lrm: 1.00 | dt: 346ms | tok/sec: 1,515,385 | mfu: 31.8% | epoch: 1 | remaining: 277s    
step 00078 (7.7%) | phase: prefix | loss: 2.454630 | gn: 0.33 | lrm: 1.00 | dt: 352ms | tok/sec: 1,489,763 | mfu: 31.3% | epoch: 1 | remaining: 277s    
step 00079 (7.8%) | phase: prefix | loss: 2.445384 | gn: 0.53 | lrm: 1.00 | dt: 353ms | tok/sec: 1,484,857 | mfu: 31.2% | epoch: 1 | remaining: 276s    
