Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
W0331 21:17:03.511000 2458 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] torch._dynamo hit config.recompile_limit (8)
W0331 21:17:03.511000 2458 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8]    function: 'adamw_step_fused' (/content/autoresearch_calm/train.py:489)
W0331 21:17:03.511000 2458 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8]    last reason: 1/7: tensor 'p' rank mismatch. expected 1, actual 2. Guard failed on a parameter, consider using torch._dynamo.config.force_parameter_static_shapes = False to allow dynamism on parameters.
W0331 21:17:03.511000 2458 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
W0331 21:17:03.511000 2458 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] To diagnose recompilation issues, see https://pytorch.org/docs/main/torch.compiler_troubleshooting.html
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  chunk_gate              : 524,800
  chunk_gate_hidden       : 754,400
  chunk_gate_resid        : 376,832
  chunk_resid             : 262,144
  chunk_pre_adapter       : 12,296
  chunk_pre_backbone      : 1,024
  chunk_post_backbone     : 1,024
  live_carry              : 512
  chunk_decode_offsets    : 1,024
  chunk_decode_hidden     : 123,120
  chunk_decode_proj       : 245,760
  chunk_pre_norm          : 1,024
  chunk_interface         : 262,656
  chunk_interface_scale   : 512
  token_shortcut_head     : 4,194,304
  shortcut_scale          : 2
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 57,093,610
Estimated FLOPs per token: 2.076211e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 6000s
Gradient accumulation steps: 16

step 00000 (0.0%) | phase: prefix | loss: 9.010914 | gn: 8.10 | lrm: 1.00 | dt: 34215ms | tok/sec: 15,323 | mfu: 0.3% | epoch: 1 | remaining: 6000s    
step 00001 (0.0%) | phase: prefix | loss: 8.996847 | gn: 1.26 | lrm: 1.00 | dt: 384ms | tok/sec: 1,366,220 | mfu: 28.7% | epoch: 1 | remaining: 6000s    
step 00002 (0.0%) | phase: prefix | loss: 9.469348 | gn: 7.91 | lrm: 1.00 | dt: 351ms | tok/sec: 1,493,506 | mfu: 31.3% | epoch: 1 | remaining: 6000s    
step 00003 (0.0%) | phase: prefix | loss: 8.879818 | gn: 1.47 | lrm: 1.00 | dt: 412ms | tok/sec: 1,273,434 | mfu: 26.7% | epoch: 1 | remaining: 6000s    
step 00004 (0.0%) | phase: prefix | loss: 8.316041 | gn: 1.15 | lrm: 1.00 | dt: 420ms | tok/sec: 1,249,784 | mfu: 26.2% | epoch: 1 | remaining: 6000s    
step 00005 (0.0%) | phase: prefix | loss: 7.887931 | gn: 1.22 | lrm: 1.00 | dt: 380ms | tok/sec: 1,379,603 | mfu: 28.9% | epoch: 1 | remaining: 6000s    
step 00006 (0.0%) | phase: prefix | loss: 7.516370 | gn: 0.60 | lrm: 1.00 | dt: 396ms | tok/sec: 1,325,066 | mfu: 27.8% | epoch: 1 | remaining: 6000s    
step 00007 (0.0%) | phase: prefix | loss: 7.184968 | gn: 0.57 | lrm: 1.00 | dt: 376ms | tok/sec: 1,395,371 | mfu: 29.3% | epoch: 1 | remaining: 6000s    
step 00008 (0.0%) | phase: prefix | loss: 6.888974 | gn: 0.44 | lrm: 1.00 | dt: 379ms | tok/sec: 1,383,290 | mfu: 29.0% | epoch: 1 | remaining: 6000s    
step 00009 (0.0%) | phase: prefix | loss: 6.620616 | gn: 0.33 | lrm: 1.00 | dt: 389ms | tok/sec: 1,348,466 | mfu: 28.3% | epoch: 1 | remaining: 6000s    
step 00010 (0.0%) | phase: prefix | loss: 6.365358 | gn: 0.28 | lrm: 1.00 | dt: 394ms | tok/sec: 1,329,768 | mfu: 27.9% | epoch: 1 | remaining: 6000s    
step 00011 (0.0%) | phase: prefix | loss: 6.138126 | gn: 0.26 | lrm: 1.00 | dt: 376ms | tok/sec: 1,394,442 | mfu: 29.3% | epoch: 1 | remaining: 6000s    
step 00012 (0.0%) | phase: prefix | loss: 5.922283 | gn: 0.24 | lrm: 1.00 | dt: 390ms | tok/sec: 1,343,054 | mfu: 28.2% | epoch: 1 | remaining: 5999s    
step 00013 (0.0%) | phase: prefix | loss: 5.722426 | gn: 0.24 | lrm: 1.00 | dt: 387ms | tok/sec: 1,355,479 | mfu: 28.4% | epoch: 1 | remaining: 5999s    
step 00014 (0.0%) | phase: prefix | loss: 5.534828 | gn: 0.24 | lrm: 1.00 | dt: 413ms | tok/sec: 1,270,384 | mfu: 26.7% | epoch: 1 | remaining: 5998s    
step 00015 (0.0%) | phase: prefix | loss: 5.351168 | gn: 0.31 | lrm: 1.00 | dt: 382ms | tok/sec: 1,370,875 | mfu: 28.8% | epoch: 1 | remaining: 5998s    
step 00016 (0.0%) | phase: prefix | loss: 5.175701 | gn: 0.54 | lrm: 1.00 | dt: 390ms | tok/sec: 1,344,425 | mfu: 28.2% | epoch: 1 | remaining: 5998s    
step 00017 (0.0%) | phase: prefix | loss: 5.003963 | gn: 0.48 | lrm: 1.00 | dt: 387ms | tok/sec: 1,355,204 | mfu: 28.4% | epoch: 1 | remaining: 5997s    
step 00018 (0.0%) | phase: prefix | loss: 4.837466 | gn: 0.21 | lrm: 1.00 | dt: 386ms | tok/sec: 1,357,220 | mfu: 28.5% | epoch: 1 | remaining: 5997s    
step 00019 (0.1%) | phase: prefix | loss: 4.677617 | gn: 0.32 | lrm: 1.00 | dt: 407ms | tok/sec: 1,288,622 | mfu: 27.0% | epoch: 1 | remaining: 5996s    
step 00020 (0.1%) | phase: prefix | loss: 4.520449 | gn: 0.18 | lrm: 1.00 | dt: 409ms | tok/sec: 1,280,986 | mfu: 26.9% | epoch: 1 | remaining: 5996s    
step 00021 (0.1%) | phase: prefix | loss: 4.370407 | gn: 0.18 | lrm: 1.00 | dt: 372ms | tok/sec: 1,408,897 | mfu: 29.6% | epoch: 1 | remaining: 5996s    
step 00022 (0.1%) | phase: prefix | loss: 4.236058 | gn: 0.14 | lrm: 1.00 | dt: 371ms | tok/sec: 1,412,329 | mfu: 29.6% | epoch: 1 | remaining: 5995s    
step 00023 (0.1%) | phase: prefix | loss: 4.108929 | gn: 0.13 | lrm: 1.00 | dt: 367ms | tok/sec: 1,429,213 | mfu: 30.0% | epoch: 1 | remaining: 5995s    
step 00024 (0.1%) | phase: prefix | loss: 3.984160 | gn: 0.15 | lrm: 1.00 | dt: 390ms | tok/sec: 1,342,798 | mfu: 28.2% | epoch: 1 | remaining: 5995s    
step 00025 (0.1%) | phase: prefix | loss: 3.866175 | gn: 0.20 | lrm: 1.00 | dt: 374ms | tok/sec: 1,401,310 | mfu: 29.4% | epoch: 1 | remaining: 5994s    
step 00026 (0.1%) | phase: prefix | loss: 3.762198 | gn: 0.21 | lrm: 1.00 | dt: 345ms | tok/sec: 1,518,076 | mfu: 31.9% | epoch: 1 | remaining: 5994s    
step 00027 (0.1%) | phase: prefix | loss: 3.657416 | gn: 0.27 | lrm: 1.00 | dt: 379ms | tok/sec: 1,382,632 | mfu: 29.0% | epoch: 1 | remaining: 5993s    
step 00028 (0.1%) | phase: prefix | loss: 3.571145 | gn: 0.36 | lrm: 1.00 | dt: 372ms | tok/sec: 1,409,732 | mfu: 29.6% | epoch: 1 | remaining: 5993s    
step 00029 (0.1%) | phase: prefix | loss: 3.490531 | gn: 0.42 | lrm: 1.00 | dt: 393ms | tok/sec: 1,335,162 | mfu: 28.0% | epoch: 1 | remaining: 5993s    
step 00030 (0.1%) | phase: prefix | loss: 3.422647 | gn: 0.58 | lrm: 1.00 | dt: 372ms | tok/sec: 1,410,466 | mfu: 29.6% | epoch: 1 | remaining: 5992s    
step 00031 (0.1%) | phase: prefix | loss: 3.360438 | gn: 0.56 | lrm: 1.00 | dt: 371ms | tok/sec: 1,412,136 | mfu: 29.6% | epoch: 1 | remaining: 5992s    
step 00032 (0.1%) | phase: prefix | loss: 3.297285 | gn: 0.23 | lrm: 1.00 | dt: 365ms | tok/sec: 1,437,189 | mfu: 30.2% | epoch: 1 | remaining: 5992s    
step 00033 (0.1%) | phase: prefix | loss: 3.243592 | gn: 0.35 | lrm: 1.00 | dt: 345ms | tok/sec: 1,520,985 | mfu: 31.9% | epoch: 1 | remaining: 5991s    
step 00034 (0.1%) | phase: prefix | loss: 3.190267 | gn: 0.20 | lrm: 1.00 | dt: 365ms | tok/sec: 1,437,739 | mfu: 30.2% | epoch: 1 | remaining: 5991s    
step 00035 (0.2%) | phase: prefix | loss: 3.145721 | gn: 0.18 | lrm: 1.00 | dt: 361ms | tok/sec: 1,451,366 | mfu: 30.5% | epoch: 1 | remaining: 5991s    
step 00036 (0.2%) | phase: prefix | loss: 3.098636 | gn: 0.19 | lrm: 1.00 | dt: 405ms | tok/sec: 1,296,041 | mfu: 27.2% | epoch: 1 | remaining: 5990s    
step 00037 (0.2%) | phase: prefix | loss: 3.056089 | gn: 0.15 | lrm: 1.00 | dt: 373ms | tok/sec: 1,404,942 | mfu: 29.5% | epoch: 1 | remaining: 5990s    
step 00038 (0.2%) | phase: prefix | loss: 3.018842 | gn: 0.25 | lrm: 1.00 | dt: 363ms | tok/sec: 1,445,016 | mfu: 30.3% | epoch: 1 | remaining: 5989s    
step 00039 (0.2%) | phase: prefix | loss: 2.987232 | gn: 0.45 | lrm: 1.00 | dt: 360ms | tok/sec: 1,455,716 | mfu: 30.5% | epoch: 1 | remaining: 5989s    
step 00040 (0.2%) | phase: prefix | loss: 2.965406 | gn: 0.67 | lrm: 1.00 | dt: 352ms | tok/sec: 1,487,762 | mfu: 31.2% | epoch: 1 | remaining: 5989s    
step 00041 (0.2%) | phase: prefix | loss: 2.941746 | gn: 0.54 | lrm: 1.00 | dt: 365ms | tok/sec: 1,435,748 | mfu: 30.1% | epoch: 1 | remaining: 5988s    
step 00042 (0.2%) | phase: prefix | loss: 2.919824 | gn: 0.54 | lrm: 1.00 | dt: 380ms | tok/sec: 1,381,470 | mfu: 29.0% | epoch: 1 | remaining: 5988s    
step 00043 (0.2%) | phase: prefix | loss: 2.895269 | gn: 0.42 | lrm: 1.00 | dt: 413ms | tok/sec: 1,269,774 | mfu: 26.6% | epoch: 1 | remaining: 5988s    
step 00044 (0.2%) | phase: prefix | loss: 2.872614 | gn: 0.21 | lrm: 1.00 | dt: 368ms | tok/sec: 1,426,466 | mfu: 29.9% | epoch: 1 | remaining: 5987s    
step 00045 (0.2%) | phase: prefix | loss: 2.855875 | gn: 0.27 | lrm: 1.00 | dt: 413ms | tok/sec: 1,269,489 | mfu: 26.6% | epoch: 1 | remaining: 5987s    
step 00046 (0.2%) | phase: prefix | loss: 2.832122 | gn: 0.15 | lrm: 1.00 | dt: 359ms | tok/sec: 1,461,726 | mfu: 30.7% | epoch: 1 | remaining: 5986s    
step 00047 (0.2%) | phase: prefix | loss: 2.809504 | gn: 0.19 | lrm: 1.00 | dt: 400ms | tok/sec: 1,309,253 | mfu: 27.5% | epoch: 1 | remaining: 5986s    
step 00048 (0.2%) | phase: prefix | loss: 2.795421 | gn: 0.16 | lrm: 1.00 | dt: 383ms | tok/sec: 1,367,927 | mfu: 28.7% | epoch: 1 | remaining: 5986s    
step 00049 (0.2%) | phase: prefix | loss: 2.773911 | gn: 0.16 | lrm: 1.00 | dt: 390ms | tok/sec: 1,343,060 | mfu: 28.2% | epoch: 1 | remaining: 5985s    
step 00050 (0.2%) | phase: prefix | loss: 2.754673 | gn: 0.20 | lrm: 1.00 | dt: 375ms | tok/sec: 1,398,935 | mfu: 29.4% | epoch: 1 | remaining: 5985s    
step 00051 (0.3%) | phase: prefix | loss: 2.740842 | gn: 0.36 | lrm: 1.00 | dt: 379ms | tok/sec: 1,383,470 | mfu: 29.0% | epoch: 1 | remaining: 5984s    
step 00052 (0.3%) | phase: prefix | loss: 2.725747 | gn: 0.60 | lrm: 1.00 | dt: 358ms | tok/sec: 1,466,132 | mfu: 30.8% | epoch: 1 | remaining: 5984s    
step 00053 (0.3%) | phase: prefix | loss: 2.717059 | gn: 0.63 | lrm: 1.00 | dt: 365ms | tok/sec: 1,434,863 | mfu: 30.1% | epoch: 1 | remaining: 5984s    
step 00054 (0.3%) | phase: prefix | loss: 2.711262 | gn: 0.46 | lrm: 1.00 | dt: 365ms | tok/sec: 1,437,085 | mfu: 30.2% | epoch: 1 | remaining: 5983s    
step 00055 (0.3%) | phase: prefix | loss: 2.696811 | gn: 0.25 | lrm: 1.00 | dt: 395ms | tok/sec: 1,328,373 | mfu: 27.9% | epoch: 1 | remaining: 5983s    
step 00056 (0.3%) | phase: prefix | loss: 2.683742 | gn: 0.27 | lrm: 1.00 | dt: 402ms | tok/sec: 1,305,384 | mfu: 27.4% | epoch: 1 | remaining: 5983s    
step 00057 (0.3%) | phase: prefix | loss: 2.674498 | gn: 0.22 | lrm: 1.00 | dt: 368ms | tok/sec: 1,425,937 | mfu: 29.9% | epoch: 1 | remaining: 5982s    
step 00058 (0.3%) | phase: prefix | loss: 2.658201 | gn: 0.20 | lrm: 1.00 | dt: 371ms | tok/sec: 1,414,230 | mfu: 29.7% | epoch: 1 | remaining: 5982s    
step 00059 (0.3%) | phase: prefix | loss: 2.645762 | gn: 0.18 | lrm: 1.00 | dt: 364ms | tok/sec: 1,440,819 | mfu: 30.2% | epoch: 1 | remaining: 5981s    
step 00060 (0.3%) | phase: prefix | loss: 2.635503 | gn: 0.25 | lrm: 1.00 | dt: 345ms | tok/sec: 1,521,632 | mfu: 31.9% | epoch: 1 | remaining: 5981s    
step 00061 (0.3%) | phase: prefix | loss: 2.625725 | gn: 0.41 | lrm: 1.00 | dt: 361ms | tok/sec: 1,451,141 | mfu: 30.4% | epoch: 1 | remaining: 5981s    
step 00062 (0.3%) | phase: prefix | loss: 2.621702 | gn: 0.49 | lrm: 1.00 | dt: 365ms | tok/sec: 1,437,358 | mfu: 30.2% | epoch: 1 | remaining: 5980s    
step 00063 (0.3%) | phase: prefix | loss: 2.609984 | gn: 0.33 | lrm: 1.00 | dt: 363ms | tok/sec: 1,444,898 | mfu: 30.3% | epoch: 1 | remaining: 5980s    
step 00064 (0.3%) | phase: prefix | loss: 2.599463 | gn: 0.21 | lrm: 1.00 | dt: 363ms | tok/sec: 1,445,260 | mfu: 30.3% | epoch: 1 | remaining: 5980s    
step 00065 (0.3%) | phase: prefix | loss: 2.582242 | gn: 0.18 | lrm: 1.00 | dt: 365ms | tok/sec: 1,434,659 | mfu: 30.1% | epoch: 1 | remaining: 5979s    
step 00066 (0.3%) | phase: prefix | loss: 2.572343 | gn: 0.20 | lrm: 1.00 | dt: 367ms | tok/sec: 1,428,021 | mfu: 30.0% | epoch: 1 | remaining: 5979s    
step 00067 (0.4%) | phase: prefix | loss: 2.561845 | gn: 0.31 | lrm: 1.00 | dt: 371ms | tok/sec: 1,412,613 | mfu: 29.6% | epoch: 1 | remaining: 5979s    
step 00068 (0.4%) | phase: prefix | loss: 2.554581 | gn: 0.42 | lrm: 1.00 | dt: 360ms | tok/sec: 1,457,473 | mfu: 30.6% | epoch: 1 | remaining: 5978s    
step 00069 (0.4%) | phase: prefix | loss: 2.549878 | gn: 0.41 | lrm: 1.00 | dt: 361ms | tok/sec: 1,452,226 | mfu: 30.5% | epoch: 1 | remaining: 5978s    
step 00070 (0.4%) | phase: prefix | loss: 2.540409 | gn: 0.33 | lrm: 1.00 | dt: 368ms | tok/sec: 1,426,170 | mfu: 29.9% | epoch: 1 | remaining: 5977s    
step 00071 (0.4%) | phase: prefix | loss: 2.531004 | gn: 0.24 | lrm: 1.00 | dt: 367ms | tok/sec: 1,429,949 | mfu: 30.0% | epoch: 1 | remaining: 5977s    
step 00072 (0.4%) | phase: prefix | loss: 2.516178 | gn: 0.14 | lrm: 1.00 | dt: 369ms | tok/sec: 1,418,981 | mfu: 29.8% | epoch: 1 | remaining: 5977s    
step 00073 (0.4%) | phase: prefix | loss: 2.501203 | gn: 0.14 | lrm: 1.00 | dt: 361ms | tok/sec: 1,450,827 | mfu: 30.4% | epoch: 1 | remaining: 5976s    
step 00074 (0.4%) | phase: prefix | loss: 2.491743 | gn: 0.15 | lrm: 1.00 | dt: 353ms | tok/sec: 1,484,171 | mfu: 31.1% | epoch: 1 | remaining: 5976s    
step 00075 (0.4%) | phase: prefix | loss: 2.485869 | gn: 0.19 | lrm: 1.00 | dt: 367ms | tok/sec: 1,427,483 | mfu: 30.0% | epoch: 1 | remaining: 5976s    
step 00076 (0.4%) | phase: prefix | loss: 2.477892 | gn: 0.30 | lrm: 1.00 | dt: 388ms | tok/sec: 1,350,772 | mfu: 28.3% | epoch: 1 | remaining: 5975s    
step 00077 (0.4%) | phase: prefix | loss: 2.472006 | gn: 0.48 | lrm: 1.00 | dt: 381ms | tok/sec: 1,377,632 | mfu: 28.9% | epoch: 1 | remaining: 5975s    
step 00078 (0.4%) | phase: prefix | loss: 2.463403 | gn: 0.61 | lrm: 1.00 | dt: 369ms | tok/sec: 1,420,430 | mfu: 29.8% | epoch: 1 | remaining: 5975s    
step 00079 (0.4%) | phase: prefix | loss: 2.455124 | gn: 0.49 | lrm: 1.00 | dt: 396ms | tok/sec: 1,323,272 | mfu: 27.8% | epoch: 1 | remaining: 5974s    
step 00080 (0.4%) | phase: prefix | loss: 2.447913 | gn: 0.31 | lrm: 1.00 | dt: 370ms | tok/sec: 1,417,500 | mfu: 29.7% | epoch: 1 | remaining: 5974s    
step 00081 (0.4%) | phase: prefix | loss: 2.438347 | gn: 0.23 | lrm: 1.00 | dt: 364ms | tok/sec: 1,439,818 | mfu: 30.2% | epoch: 1 | remaining: 5973s    
step 00082 (0.4%) | phase: prefix | loss: 2.430066 | gn: 0.22 | lrm: 1.00 | dt: 363ms | tok/sec: 1,446,025 | mfu: 30.3% | epoch: 1 | remaining: 5973s    
