W0331 23:09:12.298000 971647 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] torch._dynamo hit config.recompile_limit (8)
W0331 23:09:12.298000 971647 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8]    function: 'adamw_step_fused' (/content/autoresearch_calm/train.py:489)
W0331 23:09:12.298000 971647 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8]    last reason: 1/7: tensor 'p' rank mismatch. expected 1, actual 2. Guard failed on a parameter, consider using torch._dynamo.config.force_parameter_static_shapes = False to allow dynamism on parameters.
W0331 23:09:12.298000 971647 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
W0331 23:09:12.298000 971647 .venv/lib/python3.12/site-packages/torch/_dynamo/convert_frame.py:1358] [1/8] To diagnose recompilation issues, see https://pytorch.org/docs/main/torch.compiler_troubleshooting.html
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  chunk_gate              : 524,800
  chunk_gate_hidden       : 754,400
  chunk_gate_resid        : 376,832
  chunk_resid             : 262,144
  chunk_pre_adapter       : 12,296
  chunk_pre_backbone      : 1,024
  chunk_post_backbone     : 1,024
  live_carry              : 512
  chunk_decode_offsets    : 1,024
  chunk_decode_hidden     : 123,120
  chunk_decode_proj       : 245,760
  chunk_pre_norm          : 1,024
  chunk_interface         : 262,656
  chunk_interface_scale   : 512
  token_shortcut_head     : 4,194,304
  shortcut_scale          : 2
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 57,093,610
Estimated FLOPs per token: 2.076211e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 6000s
Gradient accumulation steps: 16

step 00000 (0.0%) | phase: prefix | loss: 9.010914 | gn: 8.10 | lrm: 1.00 | dt: 9267ms | tok/sec: 56,573 | mfu: 1.2% | epoch: 1 | remaining: 6000s    
step 00001 (0.0%) | phase: prefix | loss: 8.996847 | gn: 1.26 | lrm: 1.00 | dt: 392ms | tok/sec: 1,337,084 | mfu: 28.1% | epoch: 1 | remaining: 6000s    
step 00002 (0.0%) | phase: prefix | loss: 9.469392 | gn: 7.91 | lrm: 1.00 | dt: 378ms | tok/sec: 1,386,507 | mfu: 29.1% | epoch: 1 | remaining: 6000s    
step 00003 (0.0%) | phase: prefix | loss: 8.879839 | gn: 1.47 | lrm: 1.00 | dt: 440ms | tok/sec: 1,190,372 | mfu: 25.0% | epoch: 1 | remaining: 6000s    
step 00004 (0.0%) | phase: prefix | loss: 8.315420 | gn: 1.15 | lrm: 1.00 | dt: 461ms | tok/sec: 1,138,407 | mfu: 23.9% | epoch: 1 | remaining: 6000s    
step 00005 (0.0%) | phase: prefix | loss: 7.886673 | gn: 1.22 | lrm: 1.00 | dt: 396ms | tok/sec: 1,323,558 | mfu: 27.8% | epoch: 1 | remaining: 6000s    
step 00006 (0.0%) | phase: prefix | loss: 7.515140 | gn: 0.60 | lrm: 1.00 | dt: 410ms | tok/sec: 1,279,293 | mfu: 26.8% | epoch: 1 | remaining: 6000s    
step 00007 (0.0%) | phase: prefix | loss: 7.183753 | gn: 0.56 | lrm: 1.00 | dt: 381ms | tok/sec: 1,376,593 | mfu: 28.9% | epoch: 1 | remaining: 6000s    
step 00008 (0.0%) | phase: prefix | loss: 6.888492 | gn: 0.44 | lrm: 1.00 | dt: 396ms | tok/sec: 1,324,001 | mfu: 27.8% | epoch: 1 | remaining: 6000s    
step 00009 (0.0%) | phase: prefix | loss: 6.622001 | gn: 0.33 | lrm: 1.00 | dt: 398ms | tok/sec: 1,316,064 | mfu: 27.6% | epoch: 1 | remaining: 6000s    
step 00010 (0.0%) | phase: prefix | loss: 6.367013 | gn: 0.28 | lrm: 1.00 | dt: 416ms | tok/sec: 1,261,304 | mfu: 26.5% | epoch: 1 | remaining: 6000s    
step 00011 (0.0%) | phase: prefix | loss: 6.141432 | gn: 0.26 | lrm: 1.00 | dt: 398ms | tok/sec: 1,317,925 | mfu: 27.7% | epoch: 1 | remaining: 6000s    
step 00012 (0.0%) | phase: prefix | loss: 5.926380 | gn: 0.24 | lrm: 1.00 | dt: 419ms | tok/sec: 1,249,988 | mfu: 26.2% | epoch: 1 | remaining: 5999s    
step 00013 (0.0%) | phase: prefix | loss: 5.726988 | gn: 0.25 | lrm: 1.00 | dt: 409ms | tok/sec: 1,282,930 | mfu: 26.9% | epoch: 1 | remaining: 5999s    
step 00014 (0.0%) | phase: prefix | loss: 5.540748 | gn: 0.26 | lrm: 1.00 | dt: 416ms | tok/sec: 1,260,448 | mfu: 26.4% | epoch: 1 | remaining: 5998s    
step 00015 (0.0%) | phase: prefix | loss: 5.358482 | gn: 0.33 | lrm: 1.00 | dt: 381ms | tok/sec: 1,376,888 | mfu: 28.9% | epoch: 1 | remaining: 5998s    
step 00016 (0.0%) | phase: prefix | loss: 5.181988 | gn: 0.49 | lrm: 1.00 | dt: 375ms | tok/sec: 1,396,394 | mfu: 29.3% | epoch: 1 | remaining: 5998s    
step 00017 (0.0%) | phase: prefix | loss: 5.007783 | gn: 0.43 | lrm: 1.00 | dt: 379ms | tok/sec: 1,382,811 | mfu: 29.0% | epoch: 1 | remaining: 5997s    
step 00018 (0.0%) | phase: prefix | loss: 4.841929 | gn: 0.19 | lrm: 1.00 | dt: 369ms | tok/sec: 1,420,386 | mfu: 29.8% | epoch: 1 | remaining: 5997s    
step 00019 (0.1%) | phase: prefix | loss: 4.682170 | gn: 0.31 | lrm: 1.00 | dt: 401ms | tok/sec: 1,306,440 | mfu: 27.4% | epoch: 1 | remaining: 5996s    
step 00020 (0.1%) | phase: prefix | loss: 4.525889 | gn: 0.20 | lrm: 1.00 | dt: 398ms | tok/sec: 1,316,310 | mfu: 27.6% | epoch: 1 | remaining: 5996s    
step 00021 (0.1%) | phase: prefix | loss: 4.375048 | gn: 0.19 | lrm: 1.00 | dt: 391ms | tok/sec: 1,341,938 | mfu: 28.2% | epoch: 1 | remaining: 5996s    
step 00022 (0.1%) | phase: prefix | loss: 4.240827 | gn: 0.19 | lrm: 1.00 | dt: 384ms | tok/sec: 1,365,328 | mfu: 28.6% | epoch: 1 | remaining: 5995s    
step 00023 (0.1%) | phase: prefix | loss: 4.115079 | gn: 0.21 | lrm: 1.00 | dt: 400ms | tok/sec: 1,309,279 | mfu: 27.5% | epoch: 1 | remaining: 5995s    
step 00024 (0.1%) | phase: prefix | loss: 3.990727 | gn: 0.19 | lrm: 1.00 | dt: 414ms | tok/sec: 1,266,568 | mfu: 26.6% | epoch: 1 | remaining: 5994s    
step 00025 (0.1%) | phase: prefix | loss: 3.871771 | gn: 0.14 | lrm: 1.00 | dt: 386ms | tok/sec: 1,356,519 | mfu: 28.5% | epoch: 1 | remaining: 5994s    
step 00026 (0.1%) | phase: prefix | loss: 3.766794 | gn: 0.18 | lrm: 1.00 | dt: 360ms | tok/sec: 1,457,748 | mfu: 30.6% | epoch: 1 | remaining: 5994s    
step 00027 (0.1%) | phase: prefix | loss: 3.661724 | gn: 0.34 | lrm: 1.00 | dt: 395ms | tok/sec: 1,328,048 | mfu: 27.9% | epoch: 1 | remaining: 5993s    
step 00028 (0.1%) | phase: prefix | loss: 3.579327 | gn: 0.72 | lrm: 1.00 | dt: 384ms | tok/sec: 1,365,511 | mfu: 28.7% | epoch: 1 | remaining: 5993s    
step 00029 (0.1%) | phase: prefix | loss: 3.503088 | gn: 0.64 | lrm: 1.00 | dt: 404ms | tok/sec: 1,296,570 | mfu: 27.2% | epoch: 1 | remaining: 5993s    
step 00030 (0.1%) | phase: prefix | loss: 3.431559 | gn: 0.28 | lrm: 1.00 | dt: 400ms | tok/sec: 1,310,118 | mfu: 27.5% | epoch: 1 | remaining: 5992s    
step 00031 (0.1%) | phase: prefix | loss: 3.366292 | gn: 0.39 | lrm: 1.00 | dt: 404ms | tok/sec: 1,296,596 | mfu: 27.2% | epoch: 1 | remaining: 5992s    
step 00032 (0.1%) | phase: prefix | loss: 3.302571 | gn: 0.15 | lrm: 1.00 | dt: 384ms | tok/sec: 1,364,141 | mfu: 28.6% | epoch: 1 | remaining: 5991s    
step 00033 (0.1%) | phase: prefix | loss: 3.248034 | gn: 0.29 | lrm: 1.00 | dt: 369ms | tok/sec: 1,421,775 | mfu: 29.8% | epoch: 1 | remaining: 5991s    
step 00034 (0.2%) | phase: prefix | loss: 3.194749 | gn: 0.24 | lrm: 1.00 | dt: 383ms | tok/sec: 1,369,005 | mfu: 28.7% | epoch: 1 | remaining: 5991s    
step 00035 (0.2%) | phase: prefix | loss: 3.151483 | gn: 0.37 | lrm: 1.00 | dt: 384ms | tok/sec: 1,364,173 | mfu: 28.6% | epoch: 1 | remaining: 5990s    
step 00036 (0.2%) | phase: prefix | loss: 3.106302 | gn: 0.36 | lrm: 1.00 | dt: 428ms | tok/sec: 1,224,910 | mfu: 25.7% | epoch: 1 | remaining: 5990s    
step 00037 (0.2%) | phase: prefix | loss: 3.065296 | gn: 0.30 | lrm: 1.00 | dt: 393ms | tok/sec: 1,332,517 | mfu: 28.0% | epoch: 1 | remaining: 5989s    
step 00038 (0.2%) | phase: prefix | loss: 3.028306 | gn: 0.27 | lrm: 1.00 | dt: 384ms | tok/sec: 1,366,499 | mfu: 28.7% | epoch: 1 | remaining: 5989s    
step 00039 (0.2%) | phase: prefix | loss: 2.995487 | gn: 0.34 | lrm: 1.00 | dt: 388ms | tok/sec: 1,351,161 | mfu: 28.4% | epoch: 1 | remaining: 5989s    
step 00040 (0.2%) | phase: prefix | loss: 2.969654 | gn: 0.37 | lrm: 1.00 | dt: 370ms | tok/sec: 1,417,142 | mfu: 29.7% | epoch: 1 | remaining: 5988s    
step 00041 (0.2%) | phase: prefix | loss: 2.943528 | gn: 0.28 | lrm: 1.00 | dt: 395ms | tok/sec: 1,326,769 | mfu: 27.8% | epoch: 1 | remaining: 5988s    
step 00042 (0.2%) | phase: prefix | loss: 2.919352 | gn: 0.27 | lrm: 1.00 | dt: 387ms | tok/sec: 1,353,517 | mfu: 28.4% | epoch: 1 | remaining: 5987s    
step 00043 (0.2%) | phase: prefix | loss: 2.892615 | gn: 0.22 | lrm: 1.00 | dt: 416ms | tok/sec: 1,260,839 | mfu: 26.5% | epoch: 1 | remaining: 5987s    
step 00044 (0.2%) | phase: prefix | loss: 2.869430 | gn: 0.21 | lrm: 1.00 | dt: 389ms | tok/sec: 1,348,050 | mfu: 28.3% | epoch: 1 | remaining: 5987s    
step 00045 (0.2%) | phase: prefix | loss: 2.852814 | gn: 0.28 | lrm: 1.00 | dt: 434ms | tok/sec: 1,209,162 | mfu: 25.4% | epoch: 1 | remaining: 5986s    
step 00046 (0.2%) | phase: prefix | loss: 2.831061 | gn: 0.36 | lrm: 1.00 | dt: 381ms | tok/sec: 1,377,328 | mfu: 28.9% | epoch: 1 | remaining: 5986s    
step 00047 (0.2%) | phase: prefix | loss: 2.810548 | gn: 0.47 | lrm: 1.00 | dt: 397ms | tok/sec: 1,321,300 | mfu: 27.7% | epoch: 1 | remaining: 5985s    
step 00048 (0.2%) | phase: prefix | loss: 2.800714 | gn: 0.55 | lrm: 1.00 | dt: 401ms | tok/sec: 1,306,352 | mfu: 27.4% | epoch: 1 | remaining: 5985s    
step 00049 (0.2%) | phase: prefix | loss: 2.780902 | gn: 0.39 | lrm: 1.00 | dt: 382ms | tok/sec: 1,372,846 | mfu: 28.8% | epoch: 1 | remaining: 5985s    
step 00050 (0.3%) | phase: prefix | loss: 2.762156 | gn: 0.22 | lrm: 1.00 | dt: 390ms | tok/sec: 1,343,272 | mfu: 28.2% | epoch: 1 | remaining: 5984s    
step 00051 (0.3%) | phase: prefix | loss: 2.748123 | gn: 0.24 | lrm: 1.00 | dt: 405ms | tok/sec: 1,293,572 | mfu: 27.1% | epoch: 1 | remaining: 5984s    
step 00052 (0.3%) | phase: prefix | loss: 2.729800 | gn: 0.21 | lrm: 1.00 | dt: 378ms | tok/sec: 1,387,679 | mfu: 29.1% | epoch: 1 | remaining: 5983s    
step 00053 (0.3%) | phase: prefix | loss: 2.717949 | gn: 0.31 | lrm: 1.00 | dt: 382ms | tok/sec: 1,370,903 | mfu: 28.8% | epoch: 1 | remaining: 5983s    
step 00054 (0.3%) | phase: prefix | loss: 2.708850 | gn: 0.36 | lrm: 1.00 | dt: 386ms | tok/sec: 1,359,309 | mfu: 28.5% | epoch: 1 | remaining: 5983s    
step 00055 (0.3%) | phase: prefix | loss: 2.693328 | gn: 0.37 | lrm: 1.00 | dt: 388ms | tok/sec: 1,350,688 | mfu: 28.3% | epoch: 1 | remaining: 5982s    
step 00056 (0.3%) | phase: prefix | loss: 2.680062 | gn: 0.36 | lrm: 1.00 | dt: 398ms | tok/sec: 1,318,204 | mfu: 27.7% | epoch: 1 | remaining: 5982s    
step 00057 (0.3%) | phase: prefix | loss: 2.669878 | gn: 0.25 | lrm: 1.00 | dt: 391ms | tok/sec: 1,339,676 | mfu: 28.1% | epoch: 1 | remaining: 5982s    
step 00058 (0.3%) | phase: prefix | loss: 2.653139 | gn: 0.21 | lrm: 1.00 | dt: 393ms | tok/sec: 1,334,681 | mfu: 28.0% | epoch: 1 | remaining: 5981s    
step 00059 (0.3%) | phase: prefix | loss: 2.641272 | gn: 0.23 | lrm: 1.00 | dt: 391ms | tok/sec: 1,342,473 | mfu: 28.2% | epoch: 1 | remaining: 5981s    
step 00060 (0.3%) | phase: prefix | loss: 2.632304 | gn: 0.29 | lrm: 1.00 | dt: 391ms | tok/sec: 1,339,399 | mfu: 28.1% | epoch: 1 | remaining: 5980s    
step 00061 (0.3%) | phase: prefix | loss: 2.622250 | gn: 0.28 | lrm: 1.00 | dt: 386ms | tok/sec: 1,358,568 | mfu: 28.5% | epoch: 1 | remaining: 5980s    
step 00062 (0.3%) | phase: prefix | loss: 2.615819 | gn: 0.30 | lrm: 1.00 | dt: 387ms | tok/sec: 1,355,783 | mfu: 28.4% | epoch: 1 | remaining: 5980s    
step 00063 (0.3%) | phase: prefix | loss: 2.605177 | gn: 0.33 | lrm: 1.00 | dt: 386ms | tok/sec: 1,358,961 | mfu: 28.5% | epoch: 1 | remaining: 5979s    
step 00064 (0.3%) | phase: prefix | loss: 2.596750 | gn: 0.32 | lrm: 1.00 | dt: 380ms | tok/sec: 1,380,576 | mfu: 29.0% | epoch: 1 | remaining: 5979s    
step 00065 (0.4%) | phase: prefix | loss: 2.581637 | gn: 0.27 | lrm: 1.00 | dt: 384ms | tok/sec: 1,365,974 | mfu: 28.7% | epoch: 1 | remaining: 5978s    
step 00066 (0.4%) | phase: prefix | loss: 2.572647 | gn: 0.27 | lrm: 1.00 | dt: 395ms | tok/sec: 1,326,838 | mfu: 27.8% | epoch: 1 | remaining: 5978s    
step 00067 (0.4%) | phase: prefix | loss: 2.562567 | gn: 0.37 | lrm: 1.00 | dt: 386ms | tok/sec: 1,359,834 | mfu: 28.5% | epoch: 1 | remaining: 5978s    
step 00068 (0.4%) | phase: prefix | loss: 2.557180 | gn: 0.58 | lrm: 1.00 | dt: 388ms | tok/sec: 1,350,137 | mfu: 28.3% | epoch: 1 | remaining: 5977s    
step 00069 (0.4%) | phase: prefix | loss: 2.558215 | gn: 0.68 | lrm: 1.00 | dt: 391ms | tok/sec: 1,339,757 | mfu: 28.1% | epoch: 1 | remaining: 5977s    
step 00070 (0.4%) | phase: prefix | loss: 2.552281 | gn: 0.48 | lrm: 1.00 | dt: 399ms | tok/sec: 1,312,877 | mfu: 27.5% | epoch: 1 | remaining: 5976s    
step 00071 (0.4%) | phase: prefix | loss: 2.548160 | gn: 0.38 | lrm: 1.00 | dt: 383ms | tok/sec: 1,368,699 | mfu: 28.7% | epoch: 1 | remaining: 5976s    
step 00072 (0.4%) | phase: prefix | loss: 2.535681 | gn: 0.33 | lrm: 1.00 | dt: 388ms | tok/sec: 1,351,033 | mfu: 28.3% | epoch: 1 | remaining: 5976s    
step 00073 (0.4%) | phase: prefix | loss: 2.522030 | gn: 0.27 | lrm: 1.00 | dt: 374ms | tok/sec: 1,401,474 | mfu: 29.4% | epoch: 1 | remaining: 5975s    
step 00074 (0.4%) | phase: prefix | loss: 2.513549 | gn: 0.30 | lrm: 1.00 | dt: 366ms | tok/sec: 1,431,062 | mfu: 30.0% | epoch: 1 | remaining: 5975s    
step 00075 (0.4%) | phase: prefix | loss: 2.509631 | gn: 0.28 | lrm: 1.00 | dt: 382ms | tok/sec: 1,371,822 | mfu: 28.8% | epoch: 1 | remaining: 5975s    
step 00076 (0.4%) | phase: prefix | loss: 2.500215 | gn: 0.27 | lrm: 1.00 | dt: 407ms | tok/sec: 1,288,117 | mfu: 27.0% | epoch: 1 | remaining: 5974s    
step 00077 (0.4%) | phase: prefix | loss: 2.490956 | gn: 0.20 | lrm: 1.00 | dt: 387ms | tok/sec: 1,354,654 | mfu: 28.4% | epoch: 1 | remaining: 5974s    
step 00078 (0.4%) | phase: prefix | loss: 2.476786 | gn: 0.16 | lrm: 1.00 | dt: 381ms | tok/sec: 1,377,559 | mfu: 28.9% | epoch: 1 | remaining: 5973s    
step 00079 (0.4%) | phase: prefix | loss: 2.462617 | gn: 0.16 | lrm: 1.00 | dt: 395ms | tok/sec: 1,328,767 | mfu: 27.9% | epoch: 1 | remaining: 5973s    
